schemaVersion,recordType,source.name,source.url,content.title,content.date,content.summary,collectedAt
1.0,NEWS,Hacker News (Fresh),https://www.thebignewsletter.com/p/is-artificial-intelligence-going,Stop Panicking About AI,2026-09-11T16:56:58+00:00,,2026-09-11T20:15:45.512431+00:00
1.0,NEWS,Hacker News (Fresh),https://www.washingtonpost.com/opinions/2026/09/09/artificial-intelligence-will-not-kill-us-all/,AI Hysteria Jumps the Shark,2026-09-11T12:23:08+00:00,,2026-09-11T20:15:45.512546+00:00
1.0,NEWS,Hacker News (Fresh),https://www.theverge.com/ai-artificial-intelligence/991927/anthropic-ai-kill-all-humans,Worried Anthropic researchers warn that AI 'could kill all humans',2026-09-11T11:18:43+00:00,,2026-09-11T20:15:45.512601+00:00
